PROPERTY TYPE,PROPERTY VALUE,ONTOLOGY TERM LABEL(S),CONFIDENCE,ONTOLOGY TERM(S),keep
disease,Follicular cysts of skin and subcutaneous tissue,Follicular Cyst,High,EFO_1001329,
,"Job coding: laboratory technician, scientific assistant, cytology screener; hospital, medical or health technician",technician,Good,EFO_0009739,
,Friendships satisfaction,friendship satisfaction measurement,High,EFO_0009725,
disease,Personal history of malignant neoplasm of urinary tract,Malignant Urinary System Neoplasm,Good,EFO_1000363,
,Processed meat intake,energy intake,Medium,EFO_0003939,
,Processed meat intake,fish consumption measurement,Medium,EFO_0010139,
,PCT where patients GP was registered: LEEDS WEST PCT,platelet crit,Good,EFO_0007985,
disease,Duodenum,duodenum,High,UBERON_0002114,
,Vascular surgery,prophylactic surgery,Good,EFO_0009580,
,Tobacco smoking: Occasionally,nicotine dependence,Medium,EFO_0003768,
,Tobacco smoking: Occasionally,smoking behavior,Medium,EFO_0004318,
,PCT where patients GP was registered: NORTH EASTERN DERBYSHIRE PCT,platelet crit,Good,EFO_0007985,
,Ever tried to stop smoking,smoking behavior,Medium,EFO_0004318,
,Ever tried to stop smoking,smoking initiation,Medium,EFO_0005670,
disease,Ganglion,basal ganglion,Medium,UBERON_0002420,
disease,Ganglion,inferior vagus X ganglion,Medium,UBERON_0005363,
disease,Ganglion,retinal ganglion,Medium,EFO_0002691,
disease,Ganglion,main ciliary ganglion,Medium,UBERON_0002058,
disease,Ganglion,trigeminal ganglion,Medium,UBERON_0001675,
,Number of trend entries,number of injections,Medium,EFO_0000627,
,Number of trend entries,number of teeth measurement,Medium,EFO_0010073,
,Which eye(s) affected by astigmatism: Left eye,Astigmatism,Medium,HP_0000483,
,Which eye(s) affected by astigmatism: Left eye,eye,Medium,UBERON_0000970,
,Thickness of butter/margarine spread on baguettes: thin,Episcleritis,Medium,HP_0100534,
,Thickness of butter/margarine spread on baguettes: thin,descending thin limb,Medium,UBERON_0005096,
,Basophill percentage,basophil percentage of leukocytes,Medium,EFO_0007992,
,Basophill percentage,basophil percentage of granulocytes,Medium,EFO_0007995,
,"Job coding: office manager, account/payrolls manager, administration manager, litigation/solicitor's office manager",job satisfaction measurement,Medium,EFO_0009723,
,"Job coding: office manager, account/payrolls manager, administration manager, litigation/solicitor's office manager",job-related exhaustion measurement,Medium,EFO_0007881,
,External causes: W19.9 Unspecified place,disease causes feature,Medium,disease_causes_feature,
,External causes: W19.9 Unspecified place,Asian,Medium,HANCESTRO_0008,
,Fresh fruit intake,energy intake,Medium,EFO_0003939,
,Fresh fruit intake,fish consumption measurement,Medium,EFO_0010139,
treatment,morphine,morphine,High,CHEBI_17303,
disease,Excessive and frequent menstruation with regular cycle,N/A,Did not map,N/A,
treatment,aspirin 75mg tablet,aspirin hydrolysis measurement,Good,EFO_0005211,
,Fracture resulting from simple fall,bone fracture,High,EFO_0003931,
,"Non-cancer illness code, self-reported: uterine polyps","number of non-cancer illnesses, self-reported",Good,EFO_0009801,
,Ever smoked,smoking behavior,Medium,EFO_0004318,
,Ever smoked,smoking status measurement,Medium,EFO_0006527,
,Ever smoked,"smoking status measurement, smoking behavior",Medium,"EFO_0006527, EFO_0004318",
disease,Unspecified diagnostic endoscopic examination of peritoneum,ocular tuberculosis,Good,EFO_1001070,
disease,"Chronic obstructive pulmonary disease, unspecified",chronic obstructive pulmonary disease,Good,EFO_0000341,
,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Hormone replacement therapy",hormone replacement therapy,Good,EFO_0003961,
,Coffee type: Instant coffee,Coffea,Medium,NCBITaxon_13442,
,Coffee type: Instant coffee,Coffea arabica,Medium,NCBITaxon_13443,
,Type of special diet followed: Vegetarian,diet,Medium,EFO_0002755,
,Type of special diet followed: Vegetarian,diet measurement,Medium,EFO_0008111,
,Other grain intake,caryopsis,Good,EFO_0006814,
,Job SOC coding: Primary and nursery education teaching professionals,N/A,Did not map,N/A,
,Wears glasses or contact lenses,contact dermatitis,Good,EFO_0005319,
,Caffeine drink within last hour,coffee consumption,Good,EFO_0004330,
,Trouble falling asleep,heart disease,Good,EFO_0003777,
,How are people in household related to participant: Other unrelated,Other immunodeficiency syndromes due to defects in innate immunity,Medium,Orphanet_331193,
,How are people in household related to participant: Other unrelated,Other immunodeficiency syndrome due to defects in adaptive immunity,Medium,Orphanet_331217,
disease,Other specified disorders of bladder,glaucoma,Medium,EFO_0000516,
disease,Other specified disorders of bladder,digestive system disease,Medium,EFO_0000405,
,Leg fat percentage (right),body fat percentage,Good,EFO_0007800,
,PCT where patients GP was registered: SOUTHWARK PCT,platelet crit,Good,EFO_0007985,
,Illnesses of siblings: Severe depression,number of siblings,Medium,EFO_0009713,
,Illnesses of siblings: Severe depression,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
disease,Pain localised to upper abdomen,Congenital insensitivity to pain with hyperhidrosis,Medium,Orphanet_217399,
disease,Pain localised to upper abdomen,Familial episodic pain syndrome with predominantly upper body involvement,Medium,Orphanet_391389,
treatment,sterilisation,N/A,Did not map,N/A,
,Albumin,control,Medium,EFO_0001461,
,Albumin,percent glycated albumin,Medium,EFO_0009304,
,Family relationship satisfaction,"family relationship, wellbeing measurement",High,"EFO_0004424, EFO_0007869",
disease,Follow-up care involving plastic surgery,follow-up,High,EFO_0009642,
,Type milk consumed: wholemilk,milk allergic reaction,Good,EFO_0007369,
disease,Deviated nasal septum,C0549397,High,C0549397,
disease,"Breast, unspecified",unspecified juvenile idiopathic arthritis,Good,EFO_0009734,
disease,Calculus of bile duct without cholangitis or cholecystitis,acalculous cholecystitis,Good,EFO_1000790,
disease,Other primary gonarthrosis,cardiomyopathy,Good,EFO_0000318,
,Arm fat-free mass (left),left ventricular mass,Medium,EFO_0009289,
,Arm fat-free mass (left),left ventricular mass index,Medium,EFO_0009290,
disease,Septoplasty of nose NEC,nasal disorder,Medium,MONDO_0002436,
disease,Septoplasty of nose NEC,"autoimmune disease of ear, nose and throat",Medium,MONDO_0000587,
,Delivery methods: Elective caesarean section,cesarean section,Good,EFO_0009636,
,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Oral contraceptive pill or minipill",blood pressure,Medium,EFO_0004325,
,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Oral contraceptive pill or minipill",systolic blood pressure,Medium,EFO_0006335,
,Main speciality of consultant (recoded): Neurosurgery,consultant,Good,EFO_0001732,
,Frequency of unenthusiasm / disinterest in last 2 weeks,emotional symptom measurement,High,EFO_0007803,
,"Detention categories: Informal, not formally detained",not rare,Medium,MONDO_0021137,
,"Detention categories: Informal, not formally detained",acquired,Medium,MONDO_0021141,
treatment,vasectomy,N/A,Did not map,N/A,
disease,Endoscopic resection of semilunar cartilage NEC,cartilage disease,Good,EFO_0005802,
,"Worked with paints, thinners or glues: Sometimes",Rare disease with autism,Medium,Orphanet_180772,
,"Worked with paints, thinners or glues: Sometimes",Exercise-induced rhabdomyolysis,Medium,HP_0009045,
,Age of primiparous women at birth of child,age at first birth measurement,High,EFO_0009101,
,Methods of admission to hospital (recoded): Emergency admission: A&E,Hemolytic anemia due to a disorder of glycolytic enzymes,Medium,Orphanet_98372,
,Methods of admission to hospital (recoded): Emergency admission: A&E,Mitochondrial oxidative phosphorylation disorder due to a duplication of mitochondrial DNA,Medium,Orphanet_254793,
,Surgery on leg arteries (other than for varicose veins),surgery on leg artery,High,EFO_0009729,
,PCT where patients GP was registered: SHEFFIELD PCT,platelet crit,Good,EFO_0007985,
disease,Unspecified other blood transfusion,twin-to-twin transfusion syndrome,Medium,EFO_1001221,
disease,Unspecified other blood transfusion,fetomaternal transfusion,Medium,EFO_1001794,
,Sprouts intake,energy intake,Medium,EFO_0003939,
,Sprouts intake,fish consumption measurement,Medium,EFO_0010139,
,Bring up phlegm/sputum/mucus on most days,"bringing up phlegm, sputum or mucus on most days, self-reported",High,EFO_0009824,
,Work hours - lumped category: 20 to less-than-30 hours,milligram per day,Good,EFO_0004419,
,Ever highly irritable/argumentative for 2 days,irritability measurement,High,EFO_0009594,
,Saturated fat,arthropod fat body,Medium,UBERON_0003917,
,Saturated fat,adipose tissue,Medium,UBERON_0001013,
treatment,bendroflumethiazide,N/A,Did not map,N/A,
,Carrot intake,energy intake,Medium,EFO_0003939,
,Carrot intake,fish consumption measurement,Medium,EFO_0010139,
,"Job coding: senior official of special interest organisation including general manager or director or executive or general secretary of charity, or trade union/association or religious organisation",organization,Medium,OBI_0000245,
,"Job coding: senior official of special interest organisation including general manager or director or executive or general secretary of charity, or trade union/association or religious organisation",Overgrowth,Medium,HP_0001548,
,Malignant neoplasm of prostate,prostate carcinoma,High,EFO_0001663,
disease,Paralytic ileus and intestinal obstruction without hernia,Gastrointestinal obstruction,High,HP_0004796,
treatment,atorvastatin,"myopathy, response to atorvastatin",Medium,"EFO_0004145, EFO_0010124",
treatment,atorvastatin,response to atorvastatin,Medium,EFO_0010124,
treatment,atorvastatin,myopathy,Medium,EFO_0004145,
treatment,atorvastatin,CN236485,Medium,CN236485,
treatment,atorvastatin,CN236484,Medium,CN236484,
,Total traffic load on major roads,traffic air pollution measurement,Medium,EFO_0007908,
,Total traffic load on major roads,viral load,Medium,EFO_0010125,
,"Endocrine, nutritional and metabolic diseases",nutritional or metabolic disease,Good,MONDO_0024297,
,"Systolic blood pressure, manual reading",systolic blood pressure,Good,EFO_0006335,
disease,Pain localised to upper abdomen,Congenital insensitivity to pain with hyperhidrosis,Medium,Orphanet_217399,
disease,Pain localised to upper abdomen,Familial episodic pain syndrome with predominantly upper body involvement,Medium,Orphanet_391389,
treatment,logynon tablet,N/A,Did not map,N/A,
,Cancer of respiratory intrathoracic,intrathoracic organ injury,Good,EFO_0009887,
,Non-cancer illness code  self-reported: mania/bipolar disorder/manic depression,bipolar disorder,Medium,EFO_0000289,
,Non-cancer illness code  self-reported: mania/bipolar disorder/manic depression,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Leisure/social activities: Religious group,physical activity,Good,EFO_0003940,
,Knee pain for 3+ months,Knee pain,High,HP_0030839,
,Fractured heel,Plantar Fasciitis,Good,EFO_1001909,
disease,Glaucoma,glaucoma,High,EFO_0000516,
,PCT where patients GP was registered: HALTON AND ST HELENS PCT,N/A,Did not map,N/A,
,Types of spreads/sauces consumed: Cream,INTACT,Medium,EFO_0010037,
,Types of spreads/sauces consumed: Cream,schizophrenia,Medium,EFO_0000692,
,Comparative body size at age 10,"comparative body size at age 10, self-reported",High,EFO_0009819,
disease,Dyspepsia,dyspepsia,High,EFO_0008533,
,Eye problems/disorders: Injury or trauma resulting in loss of vision,Visual loss,Medium,HP_0000572,
,Eye problems/disorders: Injury or trauma resulting in loss of vision,Peripheral visual field loss,Medium,HP_0007994,
,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",skin disease,High,EFO_0000701,
treatment,breast cyst/abscess removal,breast cyst,Good,EFO_1000848,
,Qualifications: Other professional qualifications eg: nursing  teaching,orthopedic nursing,Good,EFO_0009577,
treatment,omeprazole,omeprazole,Good,CHEBI_7772,
,Type of sliced bread eaten: white,White sponge nevus,Medium,Orphanet_171723,
,Type of sliced bread eaten: white,Poliosis,Medium,HP_0002290,
,Consecutive night shifts during mixed shift periods,night blindness,Medium,MONDO_0004588,
,Consecutive night shifts during mixed shift periods,mixed neoplasm,Medium,MONDO_0021043,
,Low calorie drink intake,energy intake,Medium,EFO_0003939,
,Low calorie drink intake,fish consumption measurement,Medium,EFO_0010139,
treatment,salbutamol,CN236579,Good,CN236579,
,Anaesthetics administered post delivery: Other,Abnormal delivery,Medium,HP_0001787,
,Anaesthetics administered post delivery: Other,Forceps delivery,Medium,HP_0011411,
,Vitamin and mineral supplements: Folic acid or Folate (Vit B9),N/A,Did not map,N/A,
,Other fish intake,fish consumption measurement,Good,EFO_0010139,
,Non-cancer illness code  self-reported: gout,"number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Non-cancer illness code  self-reported: gout,gout,Medium,EFO_0004274,
treatment,methotrexate,methotrexate,High,CHEBI_44185,
,Vegetable consumers,N/A,Did not map,N/A,
,Average monthly red wine intake,red wine liking measurement,Medium,EFO_0006947,
,Average monthly red wine intake,energy intake,Medium,EFO_0003939,
,Financial situation satisfaction,financial situation satisfaction measurement,High,EFO_0009726,
,Types of spreads/sauces consumed: Hummus,INTACT,Medium,EFO_0010037,
,Types of spreads/sauces consumed: Hummus,schizophrenia,Medium,EFO_0000692,
,Age when periods started (menarche),age at menarche,High,EFO_0004703,
disease,Elective lower uterine segment caesarean delivery,perineal laceration during delivery,Medium,EFO_0009816,
disease,Elective lower uterine segment caesarean delivery,Uterine Inertia,Medium,EFO_1001863,
,Hand grip strength (right),grip strength measurement,High,EFO_0006941,
,Maximum heart rate during fitness test,heart rate response to exercise,High,EFO_0009184,
,Mental and behavioural disorders,cocaine dependence,Medium,EFO_0002610,
,Mental and behavioural disorders,nicotine dependence,Medium,EFO_0003768,
